Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557515511799229,-11.798010,-1.447321,1.738515,-2.556000,-0.216261,-0.055440,46.591191,7.306279,-18.370654,4635485034046816300.000000,-0.373425,0.802071,-0.167968,-0.434768,-11.150806,1.736555,1.526116,-2.273347,0.973994,-0.849292,50.100687,8.344798,-4.087500,4635479342678278100.000000,-0.443495,-0.724904,-0.254641,0.461502,-10.979243,-8.040368,-4.157697,-4.715873,-0.372512,2.228994,43.819557,-9.021988,-20.324126,4635479879549190100.000000,-0.931983,0.007539,-0.322809,-0.164756,-13.470563,0.391170,-2.092156,-0.676266,-0.303379,-0.227431,45.877074,27.134605,11.901568,4635480094297554900.000000,-0.107128,0.798131,0.564292,-0.181894,-11.329548,2.099609,-3.506924,-3.738829,-0.340784,0.666318,47.341698,-13.833537,-3.441949,4635480845916831700.000000,0.161447,0.719666,0.373125,-0.562843
1557515511807562,-11.136508,-1.349695,0.951356,-2.565684,-0.132984,-0.020947,46.614707,7.628112,-18.231019,4635485034046816300.000000,-0.364663,0.805734,-0.161864,-0.437736,-11.156157,2.136486,1.770359,-2.250119,0.927817,-0.846450,50.214401,8.795253,-3.432623,4635479342678278100.000000,-0.447327,-0.721605,-0.263518,0.457977,-11.030457,-8.363955,-4.228543,-4.658370,-0.293373,2.237747,43.291798,-9.254407,-20.945189,4635479869034689500.000000,-0.930401,0.022015,-0.318653,-0.179803,-6.323835,0.840863,-0.316878,-0.483453,-0.121254,-0.086242,44.651101,27.628191,11.873519,4635480094297554900.000000,-0.105965,0.800196,0.561972,-0.180682,-10.455812,2.468299,-2.702406,-3.961405,-0.298586,0.768653,47.163167,-13.760301,-3.890598,4635480845916831700.000000,0.170024,0.721133,0.372714,-0.558698
1557515511815895,-10.548672,-1.046272,0.463268,-2.636472,-0.053924,-0.011255,46.637647,8.015759,-18.118776,4635485034046816300.000000,-0.355555,0.809536,-0.155760,-0.440421,-11.062446,2.312645,2.110842,-2.255452,0.872628,-0.842629,50.112614,9.366262,-3.005375,4635479342678278100.000000,-0.451190,-0.718116,-0.272260,0.454545,-11.064254,-8.607415,-4.257051,-4.571663,-0.213053,2.248011,42.978932,-9.249879,-21.622391,4635479772175007700.000000,-0.928299,0.036185,-0.314718,-0.194691,-8.862975,1.433541,-3.367872,-0.442658,-0.315424,0.484284,43.840823,27.851715,11.797036,4635480094297554900.000000,-0.104017,0.803313,0.557934,-0.180496,-10.248406,1.358898,-1.636684,-4.067168,-0.194891,0.949576,47.062950,-13.757744,-4.259802,4635480845916831700.000000,0.179267,0.722871,0.372018,-0.554006
1557515511824228,-10.652599,-0.994451,0.922894,-2.650782,-0.113737,-0.012452,46.525411,8.504034,-17.888653,4635485034046816300.000000,-0.346405,0.813138,-0.149523,-0.443229,-10.846774,2.337058,2.489236,-2.247123,0.813287,-0.817112,49.989315,9.876035,-2.575434,4635479342678278100.000000,-0.455091,-0.714482,-0.280769,0.451195,-10.714332,-8.601691,-4.068470,-4.474440,-0.130073,2.254629,42.820237,-9.107918,-21.892403,4635479772175007700.000000,-0.925697,0.050016,-0.311034,-0.209382,-12.765450,1.543986,-3.581040,-0.392040,-0.447216,0.395671,43.578901,27.770550,11.473193,4635480094297554900.000000,-0.101983,0.806022,0.554274,-0.180855,-10.548320,1.023872,-1.163269,-3.909899,-0.130379,1.152884,46.682545,-13.840211,-4.531775,4635480845916831700.000000,0.188526,0.724982,0.370365,-0.549262
1557515511832561,-10.225269,-1.333417,1.286341,-2.617672,-0.111448,-0.014149,46.424755,8.961047,-17.601621,4635485034046816300.000000,-0.337339,0.816586,-0.143336,-0.445919,-10.594468,2.347864,2.867656,-2.213168,0.744797,-0.786605,50.008366,10.205627,-2.114207,4635479366616510500.000000,-0.458977,-0.710745,-0.288963,0.447976,-10.199923,-8.416447,-3.605789,-4.389049,-0.041500,2.264010,42.661544,-9.118930,-22.072866,4635479772175007700.000000,-0.922605,0.063557,-0.307624,-0.223894,-9.859369,-1.288712,-0.732755,-0.369596,-0.200473,0.155437,43.235849,27.748711,10.911719,4635480094297554900.000000,-0.100760,0.808281,0.551363,-0.180358,-11.266101,0.706979,-1.324170,-3.669104,-0.152912,1.329027,46.291999,-13.996312,-4.882724,4635480845916831700.000000,0.197600,0.727293,0.367567,-0.544880
1557515511840894,-9.001890,-1.903442,0.798045,-2.574014,-0.019395,-0.003778,46.451536,9.368355,-17.466427,4635485034046816300.000000,-0.328315,0.820031,-0.137377,-0.448204,-10.313724,2.316686,3.246050,-2.159631,0.663266,-0.746007,50.020360,10.551518,-1.617937,4635479450052460500.000000,-0.462829,-0.706938,-0.296753,0.444933,-9.900737,-8.103861,-3.157741,-4.325361,0.035213,2.279741,42.494505,-9.127288,-22.341404,4635479772175007700.000000,-0.919041,0.076873,-0.304433,-0.238277,-8.472883,-2.853652,-3.747034,-0.320325,-0.234260,0.371049,43.067906,27.740591,10.452991,4635480094297554900.000000,-0.099448,0.810926,0.547758,-0.180197,-10.820664,0.000826,-1.153913,-3.405956,-0.147629,1.423826,46.207588,-14.449516,-5.236777,4635480845916831700.000000,0.206129,0.729802,0.363779,-0.540892
1557515511849227,-7.945959,-1.996634,0.613265,-2.499177,0.022351,0.000884,46.444440,9.752146,-17.286069,4635485034046816300.000000,-0.319485,0.823346,-0.131617,-0.450231,-9.992147,2.274554,3.551029,-2.080332,0.578412,-0.688083,49.759890,10.899954,-1.261202,4635479450052460500.000000,-0.466615,-0.703136,-0.304034,0.442079,-9.645812,-7.825714,-2.748630,-4.276722,0.099226,2.279076,42.243166,-9.221114,-22.618355,4635479772175007700.000000,-0.915044,0.090031,-0.301399,-0.252481,-8.862907,1.493748,-5.294767,-0.056128,-0.208525,0.386554,43.205004,27.470562,10.150172,4635480094297554900.000000,-0.099071,0.813475,0.543911,-0.180569,-9.708177,-0.413096,-1.112161,-3.156582,-0.092783,1.478575,46.275692,-14.677781,-5.520082,4635480742317623300.000000,0.214015,0.732538,0.359247,-0.537147
1557515511857560,-7.306243,-2.055306,0.767632,-2.385194,0.049637,-0.000803,46.378283,9.992476,-16.919875,4635484955548854300.000000,-0.311022,0.826463,-0.126109,-0.452019,-9.473858,2.092700,3.572654,-1.972315,0.497703,-0.619240,49.513229,11.061371,-0.875937,4635479450052460500.000000,-0.470273,-0.699426,-0.310732,0.439421,-9.289490,-7.453609,-2.405424,-4.245157,0.151578,2.239428,41.941342,-9.368131,-22.972293,4635479772175007700.000000,-0.910677,0.103133,-0.298451,-0.266378,-7.959506,0.056974,-6.495046,0.102159,-0.137042,0.297335,43.006962,26.960241,9.685491,4635480094297554900.000000,-0.099454,0.815760,0.540253,-0.181027,-9.102911,-0.274143,-1.558444,-2.984998,-0.043385,1.510340,46.207596,-14.838622,-5.612401,4635480738542649300.000000,0.221493,0.735365,0.354283,-0.533537
1557515511865893,-6.541894,-1.964882,0.453937,-2.267441,0.094616,-0.024450,46.455991,10.135937,-16.589351,4635484740800489500.000000,-0.302977,0.829435,-0.120814,-0.453483,-8.779447,1.839205,3.488531,-1.840448,0.414517,-0.539601,49.496909,11.264911,-0.467797,4635479497903158300.000000,-0.473766,-0.695878,-0.316773,0.436985,-8.907478,-7.027538,-2.166043,-4.237576,0.193783,2.167573,41.790993,-9.310389,-23.335852,4635479772175007700.000000,-0.905990,0.116297,-0.295512,-0.279874,-7.302400,-3.688353,-3.032981,0.181821,-0.116927,0.314521,42.696581,26.335170,9.111318,4635480094297554900.000000,-0.100135,0.818016,0.536508,-0.181608,-9.164745,0.190731,-1.963388,-2.966699,-0.035475,1.495972,45.910604,-15.221059,-5.780280,4635480738542649300.000000,0.228963,0.738004,0.349308,-0.530010
1557515511874226,-5.995443,-1.723101,0.039657,-2.206625,0.078316,-0.056840,46.157734,10.616545,-16.325261,4635484604550086700.000000,-0.295190,0.832236,-0.115487,-0.454873,-8.151563,1.782281,3.312100,-1.698416,0.350572,-0.454159,49.420953,11.584984,-0.230502,4635479664800825300.000000,-0.477056,-0.692566,-0.322162,0.434721,-8.495972,-6.605289,-1.968321,-4.230388,0.230649,2.083914,41.701030,-9.387493,-23.778014,4635479772175007700.000000,-0.901016,0.129532,-0.292554,-0.292924,-7.364791,-1.775109,-2.593665,0.264539,-0.064646,0.337727,42.784717,25.644924,8.731791,4635480094297554900.000000,-0.101201,0.820302,0.532603,-0.182203,-8.873342,1.279206,-1.942269,-3.031166,-0.036279,1.466554,45.676079,-15.458597,-6.033620,4635480738542649300.000000,0.236663,0.740331,0.344555,-0.526482
